concept,context_id,period_start,period_end,instant_date,dimension_count,dimensions_json,unit,normalized_value,value_type,occurrence_count,unique_fact_ids,first_fact_number
dei:AuditorLocation,ibd1882f348764f108a3caaa3a66c21ea_D20220101-20221231,2022-01-01,2022-12-31,,0,[],,"San Mateo, California",text,2,2,44
dei:AuditorName,ibd1882f348764f108a3caaa3a66c21ea_D20220101-20221231,2022-01-01,2022-12-31,,0,[],,Ernst & Young LLP,text,2,2,43
meta:EquitySecuritiesWithoutReadilyDeterminableFairValueImpairmentAndDownwardPriceAdjustmentCurrentYearAmount,ibd1882f348764f108a3caaa3a66c21ea_D20220101-20221231,2022-01-01,2022-12-31,,0,[],iso4217:USD,447000000,numeric,2,2,408
meta:NonmarketableEquitySecuritiesCarryingValue,i3f3338fa63ff4b9dbad011578a19788e_I20211231,,,2021-12-31,0,[],iso4217:USD,6775000000,numeric,2,2,58
meta:NonmarketableEquitySecuritiesCarryingValue,i06727f1e850f48839f9fbb5214dcd53a_I20221231,,,2022-12-31,0,[],iso4217:USD,6201000000,numeric,2,2,57
us-gaap:AccruedLiabilitiesCurrent,i3f3338fa63ff4b9dbad011578a19788e_I20211231,,,2021-12-31,0,[],iso4217:USD,14873000000,numeric,2,2,1006
us-gaap:AccruedLiabilitiesCurrent,i06727f1e850f48839f9fbb5214dcd53a_I20221231,,,2022-12-31,0,[],iso4217:USD,19552000000,numeric,2,2,1005
us-gaap:CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalents,i06727f1e850f48839f9fbb5214dcd53a_I20221231,,,2022-12-31,0,[],iso4217:USD,15596000000,numeric,2,2,357
us-gaap:CommonStockSharesAuthorized,i5f49b5815414463aa8b182fbe990589f_I20221231,,,2022-12-31,1,"[{""dimension"": ""us-gaap:StatementClassOfStockAxis"", ""member"": ""us-gaap:CommonClassBMember"", ""type"": ""explicitmember""}]",xbrli:shares,4141000000,numeric,2,2,1034
us-gaap:CommonStockSharesAuthorized,i9815f9752866468985aee0be1dbc597f_I20221231,,,2022-12-31,1,"[{""dimension"": ""us-gaap:StatementClassOfStockAxis"", ""member"": ""us-gaap:CommonClassAMember"", ""type"": ""explicitmember""}]",xbrli:shares,5000000000,numeric,2,2,1033
us-gaap:CommonStockSharesIssued,i5f49b5815414463aa8b182fbe990589f_I20221231,,,2022-12-31,1,"[{""dimension"": ""us-gaap:StatementClassOfStockAxis"", ""member"": ""us-gaap:CommonClassBMember"", ""type"": ""explicitmember""}]",xbrli:shares,367000000,numeric,2,2,101
us-gaap:CommonStockSharesIssued,i9815f9752866468985aee0be1dbc597f_I20221231,,,2022-12-31,1,"[{""dimension"": ""us-gaap:StatementClassOfStockAxis"", ""member"": ""us-gaap:CommonClassAMember"", ""type"": ""explicitmember""}]",xbrli:shares,2247000000,numeric,2,2,1040
us-gaap:CommonStockSharesOutstanding,i5f49b5815414463aa8b182fbe990589f_I20221231,,,2022-12-31,1,"[{""dimension"": ""us-gaap:StatementClassOfStockAxis"", ""member"": ""us-gaap:CommonClassBMember"", ""type"": ""explicitmember""}]",xbrli:shares,367000000,numeric,2,2,102
us-gaap:CommonStockSharesOutstanding,i9815f9752866468985aee0be1dbc597f_I20221231,,,2022-12-31,1,"[{""dimension"": ""us-gaap:StatementClassOfStockAxis"", ""member"": ""us-gaap:CommonClassAMember"", ""type"": ""explicitmember""}]",xbrli:shares,2247000000,numeric,2,2,1039
us-gaap:DebtInstrumentCarryingAmount,i06727f1e850f48839f9fbb5214dcd53a_I20221231,,,2022-12-31,0,[],iso4217:USD,10000000000,numeric,2,2,983
us-gaap:DebtSecuritiesAvailableForSaleExcludingAccruedInterest,i1058f1bbd5d34f9cb537892f9045ea79_I20211231,,,2021-12-31,1,"[{""dimension"": ""us-gaap:FinancialInstrumentAxis"", ""member"": ""us-gaap:USGovernmentAgenciesDebtSecuritiesMember"", ""type"": ""explicitmember""}]",iso4217:USD,5927000000,numeric,2,2,599
us-gaap:DebtSecuritiesAvailableForSaleExcludingAccruedInterest,i933647b35b9f4eb2849bb695d4cd623a_I20211231,,,2021-12-31,1,"[{""dimension"": ""us-gaap:FinancialInstrumentAxis"", ""member"": ""us-gaap:USGovernmentDebtSecuritiesMember"", ""type"": ""explicitmember""}]",iso4217:USD,10901000000,numeric,2,2,597
us-gaap:DebtSecuritiesAvailableForSaleExcludingAccruedInterest,ib5d9d2abdae949bd8485a454ebd49bf6_I20211231,,,2021-12-31,1,"[{""dimension"": ""us-gaap:FinancialInstrumentAxis"", ""member"": ""us-gaap:CorporateDebtSecuritiesMember"", ""type"": ""explicitmember""}]",iso4217:USD,14569000000,numeric,2,2,601
us-gaap:DebtSecuritiesAvailableForSaleExcludingAccruedInterest,i04197a88d0404f0cb77ac5e781f2dc5b_I20221231,,,2022-12-31,1,"[{""dimension"": ""us-gaap:FinancialInstrumentAxis"", ""member"": ""us-gaap:USGovernmentDebtSecuritiesMember"", ""type"": ""explicitmember""}]",iso4217:USD,8708000000,numeric,2,2,596
us-gaap:DebtSecuritiesAvailableForSaleExcludingAccruedInterest,i06727f1e850f48839f9fbb5214dcd53a_I20221231,,,2022-12-31,0,[],iso4217:USD,26032000000,numeric,2,2,602
us-gaap:DebtSecuritiesAvailableForSaleExcludingAccruedInterest,i49020a4333c44e35a67211fc20db63d7_I20221231,,,2022-12-31,1,"[{""dimension"": ""us-gaap:FinancialInstrumentAxis"", ""member"": ""us-gaap:USGovernmentAgenciesDebtSecuritiesMember"", ""type"": ""explicitmember""}]",iso4217:USD,4989000000,numeric,2,2,598
us-gaap:DebtSecuritiesAvailableForSaleExcludingAccruedInterest,i808ac5238209498daedbdd1088883767_I20221231,,,2022-12-31,1,"[{""dimension"": ""us-gaap:FinancialInstrumentAxis"", ""member"": ""us-gaap:CorporateDebtSecuritiesMember"", ""type"": ""explicitmember""}]",iso4217:USD,12335000000,numeric,2,2,600
us-gaap:EquitySecuritiesFvNi,i06727f1e850f48839f9fbb5214dcd53a_I20221231,,,2022-12-31,0,[],iso4217:USD,25000000,numeric,2,2,604
us-gaap:FinanceLeaseLiability,i06727f1e850f48839f9fbb5214dcd53a_I20221231,,,2022-12-31,0,[],iso4217:USD,687000000,numeric,2,2,853
us-gaap:FinanceLeasePrincipalPayments,i318d180bade84250ab5889b877c752f0_D20200101-20201231,2020-01-01,2020-12-31,,0,[],iso4217:USD,604000000,numeric,2,2,341
