concept,context_id,period_start,period_end,instant_date,dimension_count,dimensions_json,unit,normalized_value,value_type,occurrence_count,unique_fact_ids,first_fact_number
us-gaap:ContractWithCustomerLiabilityCurrent,C_8dc19c16-0a90-49bb-9768-74f9aa8bba7f,,,2023-05-31,0,[],iso4217:USD,8970000000,numeric,2,2,1421
us-gaap:DeferredIncomeTaxAssetsNet,C_adc59fab-04b2-4dc7-85a5-444a63193d6d,,,2022-05-31,0,[],iso4217:USD,12782000000,numeric,2,2,1773
us-gaap:DeferredIncomeTaxAssetsNet,C_8dc19c16-0a90-49bb-9768-74f9aa8bba7f,,,2023-05-31,0,[],iso4217:USD,12226000000,numeric,2,2,1772
us-gaap:DeferredIncomeTaxExpenseBenefit,C_7cd1c699-6387-4a95-a7eb-d6b817ca8e18,2020-06-01,2021-05-31,,0,[],iso4217:USD,-2425000000,numeric,2,2,1691
us-gaap:DeferredIncomeTaxExpenseBenefit,C_3204f188-bbca-4ff2-8eb2-34fa54cccbe5,2021-06-01,2022-05-31,,0,[],iso4217:USD,-1146000000,numeric,2,2,1690
us-gaap:DeferredIncomeTaxExpenseBenefit,C_c621f99d-407f-4251-b31f-e58bcdda6fa8,2022-06-01,2023-05-31,,0,[],iso4217:USD,-2167000000,numeric,2,2,1689
us-gaap:DeferredIncomeTaxLiabilitiesNet,C_adc59fab-04b2-4dc7-85a5-444a63193d6d,,,2022-05-31,0,[],iso4217:USD,6031000000,numeric,2,2,1775
us-gaap:DeferredIncomeTaxLiabilitiesNet,C_8dc19c16-0a90-49bb-9768-74f9aa8bba7f,,,2023-05-31,0,[],iso4217:USD,5772000000,numeric,2,2,1774
us-gaap:DeferredTaxAssetsLiabilitiesNet,C_adc59fab-04b2-4dc7-85a5-444a63193d6d,,,2022-05-31,0,[],iso4217:USD,6751000000,numeric,2,2,1771
us-gaap:DeferredTaxAssetsLiabilitiesNet,C_8dc19c16-0a90-49bb-9768-74f9aa8bba7f,,,2023-05-31,0,[],iso4217:USD,6454000000,numeric,2,2,1770
us-gaap:DerivativeFixedInterestRate,C_3f60c19c-87be-4d8c-b6a5-f87f89b54d8d,,,2023-05-31,1,"[{""dimension"": ""us-gaap:CreditFacilityAxis"", ""member"": ""orcl:InterestRateSwapAgreementsMember"", ""type"": ""explicitmember""}]",xbrli:pure,0.0307,numeric,2,2,1217
us-gaap:EarningsPerShareBasic,C_7cd1c699-6387-4a95-a7eb-d6b817ca8e18,2020-06-01,2021-05-31,,0,[],iso4217:USD / xbrli:shares,4.67,numeric,2,2,2012
us-gaap:EarningsPerShareBasic,C_3204f188-bbca-4ff2-8eb2-34fa54cccbe5,2021-06-01,2022-05-31,,0,[],iso4217:USD / xbrli:shares,2.49,numeric,2,2,2011
us-gaap:EarningsPerShareBasic,C_c621f99d-407f-4251-b31f-e58bcdda6fa8,2022-06-01,2023-05-31,,0,[],iso4217:USD / xbrli:shares,3.15,numeric,2,2,2010
us-gaap:EarningsPerShareDiluted,C_7cd1c699-6387-4a95-a7eb-d6b817ca8e18,2020-06-01,2021-05-31,,0,[],iso4217:USD / xbrli:shares,4.55,numeric,2,2,2015
us-gaap:EarningsPerShareDiluted,C_3204f188-bbca-4ff2-8eb2-34fa54cccbe5,2021-06-01,2022-05-31,,0,[],iso4217:USD / xbrli:shares,2.41,numeric,2,2,2014
us-gaap:EarningsPerShareDiluted,C_c621f99d-407f-4251-b31f-e58bcdda6fa8,2022-06-01,2023-05-31,,0,[],iso4217:USD / xbrli:shares,3.07,numeric,2,2,2013
us-gaap:FiniteLivedIntangibleAssetsNet,C_adc59fab-04b2-4dc7-85a5-444a63193d6d,,,2022-05-31,0,[],iso4217:USD,1440000000,numeric,2,2,181
us-gaap:ForeignCurrencyTransactionGainLossBeforeTax,C_7cd1c699-6387-4a95-a7eb-d6b817ca8e18,2020-06-01,2021-05-31,,0,[],iso4217:USD,-112000000,numeric,2,2,692
us-gaap:ForeignCurrencyTransactionGainLossBeforeTax,C_3204f188-bbca-4ff2-8eb2-34fa54cccbe5,2021-06-01,2022-05-31,,0,[],iso4217:USD,-199000000,numeric,2,2,691
us-gaap:ForeignCurrencyTransactionGainLossBeforeTax,C_c621f99d-407f-4251-b31f-e58bcdda6fa8,2022-06-01,2023-05-31,,0,[],iso4217:USD,-249000000,numeric,2,2,690
us-gaap:GeneralAndAdministrativeExpense,C_7cd1c699-6387-4a95-a7eb-d6b817ca8e18,2020-06-01,2021-05-31,,0,[],iso4217:USD,1254000000,numeric,2,2,1903
us-gaap:GeneralAndAdministrativeExpense,C_3204f188-bbca-4ff2-8eb2-34fa54cccbe5,2021-06-01,2022-05-31,,0,[],iso4217:USD,1317000000,numeric,2,2,1902
us-gaap:GeneralAndAdministrativeExpense,C_c621f99d-407f-4251-b31f-e58bcdda6fa8,2022-06-01,2023-05-31,,0,[],iso4217:USD,1579000000,numeric,2,2,1901
us-gaap:Goodwill,C_adc59fab-04b2-4dc7-85a5-444a63193d6d,,,2022-05-31,0,[],iso4217:USD,43811000000,numeric,2,2,183
us-gaap:Goodwill,C_8dc19c16-0a90-49bb-9768-74f9aa8bba7f,,,2023-05-31,0,[],iso4217:USD,62261000000,numeric,2,2,182
us-gaap:InterestExpense,C_7cd1c699-6387-4a95-a7eb-d6b817ca8e18,2020-06-01,2021-05-31,,0,[],iso4217:USD,2496000000,numeric,2,2,1921
us-gaap:InterestExpense,C_3204f188-bbca-4ff2-8eb2-34fa54cccbe5,2021-06-01,2022-05-31,,0,[],iso4217:USD,2755000000,numeric,2,2,1920
us-gaap:InterestExpense,C_c621f99d-407f-4251-b31f-e58bcdda6fa8,2022-06-01,2023-05-31,,0,[],iso4217:USD,3505000000,numeric,2,2,1919
us-gaap:LineOfCreditFacilityMaximumBorrowingCapacity,C_158b61b1-5672-4380-b116-58805366a23d,,,2022-11-02,1,"[{""dimension"": ""us-gaap:CreditFacilityAxis"", ""member"": ""orcl:TermLoanCreditAgreementMember"", ""type"": ""explicitmember""}]",iso4217:USD,1300000000.0,numeric,2,2,1245
us-gaap:OperatingIncomeLoss,C_3bcf1cb2-ef95-4337-a3a6-566920f03813,2020-06-01,2021-05-31,,1,"[{""dimension"": ""srt:ConsolidationItemsAxis"", ""member"": ""us-gaap:OperatingSegmentsMember"", ""type"": ""explicitmember""}]",iso4217:USD,25823000000,numeric,2,2,1881
us-gaap:OperatingIncomeLoss,C_1310f41f-da39-4167-b03b-2fcfdf26f800,2021-06-01,2022-05-31,,1,"[{""dimension"": ""srt:ConsolidationItemsAxis"", ""member"": ""us-gaap:OperatingSegmentsMember"", ""type"": ""explicitmember""}]",iso4217:USD,26627000000,numeric,2,2,1880
us-gaap:OperatingIncomeLoss,C_979ad460-4902-4d3d-a086-1165c6b95bc1,2022-06-01,2023-05-31,,1,"[{""dimension"": ""srt:ConsolidationItemsAxis"", ""member"": ""us-gaap:OperatingSegmentsMember"", ""type"": ""explicitmember""}]",iso4217:USD,29162000000,numeric,2,2,1879
us-gaap:PropertyPlantAndEquipmentNet,C_adc59fab-04b2-4dc7-85a5-444a63193d6d,,,2022-05-31,0,[],iso4217:USD,9716000000,numeric,2,2,179
