ticker,date,open,high,low,close,adj_close,volume,dividend,split_ratio,cumulative_future_split_factor,nominal_open,nominal_high,nominal_low,nominal_close
PANW,2024-09-05,171.6750030517578,172.92999267578125,169.53500366210938,171.8699951171875,171.8699951171875,3379000,,,2.0,343.350006,345.859985,339.070007,343.73999
PANW,2024-09-06,172.5,173.51499938964844,166.9199981689453,167.91000366210938,167.91000366210938,4735200,,,2.0,345.0,347.029999,333.839996,335.820007
PANW,2024-09-09,169.4199981689453,172.46499633789062,168.8249969482422,172.02499389648438,172.02499389648438,4788600,,,2.0,338.839996,344.929993,337.649994,344.049988
PANW,2024-09-10,173.5,174.05499267578125,170.03500366210938,173.7899932861328,173.7899932861328,4959800,,,2.0,347.0,348.109985,340.070007,347.579987
PANW,2024-09-11,173.24000549316406,173.24000549316406,166.35000610351562,170.88499450683594,170.88499450683594,6914000,,,2.0,346.480011,346.480011,332.700012,341.769989
PANW,2024-09-12,172.0050048828125,173.1999969482422,170.64999389648438,172.5800018310547,172.5800018310547,3515800,,,2.0,344.01001,346.399994,341.299988,345.160004
PANW,2024-09-13,172.5800018310547,176.3000030517578,172.23500061035156,173.4499969482422,173.4499969482422,3052600,,,2.0,345.160004,352.600006,344.470001,346.899994
PANW,2024-09-16,173.2899932861328,174.63499450683594,171.4600067138672,173.05499267578125,173.05499267578125,3393200,,,2.0,346.579987,349.269989,342.920013,346.109985
PANW,2024-09-17,173.60499572753906,173.97000122070312,168.13499450683594,168.96499633789062,168.96499633789062,4998800,,,2.0,347.209991,347.940002,336.269989,337.929993
PANW,2024-09-18,168.47000122070312,168.875,164.36000061035156,164.875,164.875,5707400,,,2.0,336.940002,337.75,328.720001,329.75
PANW,2024-09-19,168.9499969482422,169.58999633789062,166.1999969482422,166.8000030517578,166.8000030517578,4807600,,,2.0,337.899994,339.179993,332.399994,333.600006
PANW,2024-09-20,166.5,170.52499389648438,166.1649932861328,170.05999755859375,170.05999755859375,7552600,,,2.0,333.0,341.049988,332.329987,340.119995
PANW,2024-09-23,169.82000732421875,172.6750030517578,168.5850067138672,172.0850067138672,172.0850067138672,4410400,,,2.0,339.640015,345.350006,337.170013,344.170013
PANW,2024-09-24,172.52000427246094,172.93499755859375,169.2550048828125,171.75999450683594,171.75999450683594,4521000,,,2.0,345.040009,345.869995,338.51001,343.519989
PANW,2024-09-25,171.71499633789062,172.5,169.17999267578125,170.2550048828125,170.2550048828125,3576600,,,2.0,343.429993,345.0,338.359985,340.51001
PANW,2024-09-26,171.77499389648438,172.13499450683594,167.64999389648438,169.36500549316406,169.36500549316406,5054400,,,2.0,343.549988,344.269989,335.299988,338.730011
PANW,2024-09-27,169.43499755859375,169.97999572753906,167.25,167.875,167.875,3519200,,,2.0,338.869995,339.959991,334.5,335.75
PANW,2024-09-30,167.5850067138672,171.71499633789062,167.5,170.89999389648438,170.89999389648438,5139800,,,2.0,335.170013,343.429993,335.0,341.799988
PANW,2024-10-01,170.8000030517578,170.88999938964844,164.125,164.64500427246094,164.64500427246094,5406000,,,2.0,341.600006,341.779999,328.25,329.290009
PANW,2024-10-02,165.27499389648438,168.80999755859375,164.27499389648438,166.06500244140625,166.06500244140625,4105200,,,2.0,330.549988,337.619995,328.549988,332.130005
PANW,2024-10-03,164.97999572753906,168.34500122070312,164.4550018310547,167.97000122070312,167.97000122070312,4020600,,,2.0,329.959991,336.690002,328.910004,335.940002
PANW,2024-10-04,171.0,171.47999572753906,167.7949981689453,171.17999267578125,171.17999267578125,4072800,,,2.0,342.0,342.959991,335.589996,342.359985
PANW,2024-10-07,170.30999755859375,172.77999877929688,168.40499877929688,168.97000122070312,168.97000122070312,4799200,,,2.0,340.619995,345.559998,336.809998,337.940002
PANW,2024-10-08,172.6999969482422,178.5,172.5,177.56500244140625,177.56500244140625,6637000,,,2.0,345.399994,357.0,345.0,355.130005
PANW,2024-10-09,177.56500244140625,181.77999877929688,177.5,181.43499755859375,181.43499755859375,4918400,,,2.0,355.130005,363.559998,355.0,362.869995
PANW,2024-10-10,180.0,184.89500427246094,180.0,184.6999969482422,184.6999969482422,4452400,,,2.0,360.0,369.790009,360.0,369.399994
PANW,2024-10-11,184.5050048828125,189.1649932861328,184.47500610351562,186.60000610351562,186.60000610351562,4596000,,,2.0,369.01001,378.329987,368.950012,373.200012
PANW,2024-10-14,188.4949951171875,188.56500244140625,184.89500427246094,186.9550018310547,186.9550018310547,2989800,,,2.0,376.98999,377.130005,369.790009,373.910004
PANW,2024-10-15,186.52499389648438,188.16000366210938,185.0050048828125,187.22000122070312,187.22000122070312,7458000,,,2.0,373.049988,376.320007,370.01001,374.440002
PANW,2024-10-16,187.22000122070312,187.27000427246094,183.7050018310547,186.61500549316406,186.61500549316406,6166800,,,2.0,374.440002,374.540009,367.410004,373.230011
PANW,2024-10-17,186.0,189.86500549316406,185.1649932861328,188.0749969482422,188.0749969482422,3095200,,,2.0,372.0,379.730011,370.329987,376.149994
PANW,2024-10-18,186.60499572753906,188.0,186.32000732421875,187.4149932861328,187.4149932861328,2900000,,,2.0,373.209991,376.0,372.640015,374.829987
PANW,2024-10-21,187.48500061035156,192.0,186.51499938964844,189.2050018310547,189.2050018310547,4362600,,,2.0,374.970001,384.0,373.029999,378.410004
PANW,2024-10-22,187.36000061035156,189.63499450683594,185.65499877929688,188.0500030517578,188.0500030517578,3167400,,,2.0,374.720001,379.269989,371.309998,376.100006
PANW,2024-10-23,186.77999877929688,187.0749969482422,178.7899932861328,179.09500122070312,179.09500122070312,5402200,,,2.0,373.559998,374.149994,357.579987,358.190002
PANW,2024-10-24,180.35499572753906,183.2550048828125,180.0749969482422,182.2899932861328,182.2899932861328,2969800,,,2.0,360.709991,366.51001,360.149994,364.579987
PANW,2024-10-25,183.86500549316406,186.1999969482422,182.8699951171875,183.22000122070312,183.22000122070312,2694400,,,2.0,367.730011,372.399994,365.73999,366.440002
PANW,2024-10-28,184.0,184.4550018310547,180.71499633789062,181.1750030517578,181.1750030517578,3126600,,,2.0,368.0,368.910004,361.429993,362.350006
PANW,2024-10-29,180.88499450683594,183.73500061035156,178.89500427246094,182.69500732421875,182.69500732421875,4410200,,,2.0,361.769989,367.470001,357.790009,365.390015
PANW,2024-10-30,182.1699981689453,183.94000244140625,179.34500122070312,179.7550048828125,179.7550048828125,2940400,,,2.0,364.339996,367.880005,358.690002,359.51001
PANW,2024-10-31,182.33999633789062,184.69000244140625,179.10000610351562,180.1649932861328,180.1649932861328,4064000,,,2.0,364.679993,369.380005,358.200012,360.329987
PANW,2024-11-01,179.51499938964844,182.88499450683594,178.5500030517578,181.32000732421875,181.32000732421875,5851800,,,2.0,359.029999,365.769989,357.100006,362.640015
PANW,2024-11-04,180.3249969482422,181.94000244140625,178.0,180.55999755859375,180.55999755859375,3064800,,,2.0,360.649994,363.880005,356.0,361.119995
PANW,2024-11-05,182.2449951171875,184.2449951171875,181.10000610351562,183.14500427246094,183.14500427246094,2707400,,,2.0,364.48999,368.48999,362.200012,366.290009
PANW,2024-11-06,189.0,193.10000610351562,188.0,192.58999633789062,192.58999633789062,5031400,,,2.0,378.0,386.200012,376.0,385.179993
PANW,2024-11-07,189.2949981689453,193.60499572753906,188.11000061035156,193.5,193.5,4210600,,,2.0,378.589996,387.209991,376.220001,387.0
PANW,2024-11-08,194.5,196.60499572753906,192.13499450683594,195.6999969482422,195.6999969482422,4116600,,,2.0,389.0,393.209991,384.269989,391.399994
PANW,2024-11-11,197.8300018310547,200.34500122070312,196.85000610351562,199.0500030517578,199.0500030517578,3761000,,,2.0,395.660004,400.690002,393.700012,398.100006
PANW,2024-11-12,197.8800048828125,199.65499877929688,196.98500061035156,199.00999450683594,199.00999450683594,3702800,,,2.0,395.76001,399.309998,393.970001,398.019989
PANW,2024-11-13,199.63999938964844,204.26499938964844,198.65499877929688,201.17999267578125,201.17999267578125,3929400,,,2.0,399.279999,408.529999,397.309998,402.359985
PANW,2024-11-14,201.05499267578125,201.5800018310547,197.01499938964844,197.19500732421875,197.19500732421875,4857800,,,2.0,402.109985,403.160004,394.029999,394.390015
PANW,2024-11-15,194.72000122070312,196.25,192.78500366210938,193.5,193.5,4408200,,,2.0,389.440002,392.5,385.570007,387.0
PANW,2024-11-18,196.5,196.69000244140625,192.86500549316406,193.4149932861328,193.4149932861328,4464600,,,2.0,393.0,393.380005,385.730011,386.829987
PANW,2024-11-19,192.60000610351562,194.51499938964844,191.51499938964844,194.02999877929688,194.02999877929688,4756400,,,2.0,385.200012,389.029999,383.029999,388.059998
PANW,2024-11-20,194.77999877929688,197.4550018310547,191.96499633789062,196.44500732421875,196.44500732421875,11057200,,,2.0,389.559998,394.910004,383.929993,392.890015
PANW,2024-11-21,193.10000610351562,202.0,190.27499389648438,198.85000610351562,198.85000610351562,14867600,,,2.0,386.200012,404.0,380.549988,397.700012
PANW,2024-11-22,196.31500244140625,197.0050048828125,187.60000610351562,191.67999267578125,191.67999267578125,12644800,,,2.0,392.630005,394.01001,375.200012,383.359985
PANW,2024-11-25,193.97999572753906,198.0800018310547,191.5850067138672,193.19000244140625,193.19000244140625,8691800,,,2.0,387.959991,396.160004,383.170013,386.380005
PANW,2024-11-26,194.72000122070312,198.61000061035156,194.31500244140625,198.1999969482422,198.1999969482422,5721200,,,2.0,389.440002,397.220001,388.630005,396.399994
PANW,2024-11-27,196.85499572753906,196.96499633789062,191.38499450683594,192.18499755859375,192.18499755859375,9251800,,,2.0,393.709991,393.929993,382.769989,384.369995
PANW,2024-11-29,193.125,194.61000061035156,191.72999572753906,193.91000366210938,193.91000366210938,2086600,,,2.0,386.25,389.220001,383.459991,387.820007
PANW,2024-12-02,195.1199951171875,196.15499877929688,193.25999450683594,195.0850067138672,195.0850067138672,4649200,,,2.0,390.23999,392.309998,386.519989,390.170013
PANW,2024-12-03,194.03500366210938,197.875,193.42999267578125,196.2949981689453,196.2949981689453,5162400,,,2.0,388.070007,395.75,386.859985,392.589996
PANW,2024-12-04,198.22999572753906,203.38999938964844,196.3000030517578,202.2899932861328,202.2899932861328,5430600,,,2.0,396.459991,406.779999,392.600006,404.579987
PANW,2024-12-05,202.0,203.75,200.78500366210938,201.51499938964844,201.51499938964844,3390000,,,2.0,404.0,407.5,401.570007,403.029999
PANW,2024-12-06,202.5749969482422,204.5800018310547,201.30999755859375,202.9499969482422,202.9499969482422,3959200,,,2.0,405.149994,409.160004,402.619995,405.899994
PANW,2024-12-09,203.5,205.11500549316406,194.06500244140625,194.47000122070312,194.47000122070312,5073400,,,2.0,407.0,410.230011,388.130005,388.940002
PANW,2024-12-10,195.75999450683594,198.22000122070312,193.86500549316406,194.8800048828125,194.8800048828125,3492200,,,2.0,391.519989,396.440002,387.730011,389.76001
PANW,2024-12-11,195.31500244140625,199.4250030517578,195.31500244140625,199.2100067138672,199.2100067138672,3376400,,,2.0,390.630005,398.850006,390.630005,398.420013
PANW,2024-12-12,198.5500030517578,201.6999969482422,197.75999450683594,200.10499572753906,200.10499572753906,3286000,,,2.0,397.100006,403.399994,395.519989,400.209991
PANW,2024-12-13,200.25,201.25,196.17999267578125,196.55999755859375,196.55999755859375,3848800,,,2.0,400.5,402.5,392.359985,393.119995
PANW,2024-12-16,198.14999389648438,203.0,195.5,202.5,202.5,6087000,,2:1,1.0,198.149994,203.0,195.5,202.5
PANW,2024-12-17,202.3300018310547,207.24000549316406,199.0,201.24000549316406,201.24000549316406,5429900,,,1.0,202.330002,207.240005,199.0,201.240005
PANW,2024-12-18,201.0,202.0,186.5399932861328,188.75999450683594,188.75999450683594,6397500,,,1.0,201.0,202.0,186.539993,188.759995
PANW,2024-12-19,194.44000244140625,195.3000030517578,188.5,189.36000061035156,189.36000061035156,5486000,,,1.0,194.440002,195.300003,188.5,189.360001
PANW,2024-12-20,186.5800018310547,192.86000061035156,185.00999450683594,186.77999877929688,186.77999877929688,13346400,,,1.0,186.580002,192.860001,185.009995,186.779999
PANW,2024-12-23,187.3000030517578,189.52000427246094,186.5,188.22000122070312,188.22000122070312,3897500,,,1.0,187.300003,189.520004,186.5,188.220001
PANW,2024-12-24,187.94000244140625,189.50999450683594,186.64999389648438,189.50999450683594,189.50999450683594,1471000,,,1.0,187.940002,189.509995,186.649994,189.509995
PANW,2024-12-26,188.50999450683594,189.47999572753906,187.6300048828125,188.5,188.5,2113200,,,1.0,188.509995,189.479996,187.630005,188.5
PANW,2024-12-27,186.3699951171875,187.00999450683594,183.1999969482422,186.17999267578125,186.17999267578125,2911300,,,1.0,186.369995,187.009995,183.199997,186.179993
PANW,2024-12-30,183.80999755859375,185.61000061035156,181.89999389648438,184.1999969482422,184.1999969482422,2737900,,,1.0,183.809998,185.610001,181.899994,184.199997
PANW,2024-12-31,185.3800048828125,185.80999755859375,181.25999450683594,181.9600067138672,181.9600067138672,3270100,,,1.0,185.380005,185.809998,181.259995,181.960007
PANW,2025-01-02,184.5,184.6300048828125,178.82000732421875,180.74000549316406,180.74000549316406,4537600,,,1.0,184.5,184.630005,178.820007,180.740005
PANW,2025-01-03,181.25999450683594,184.8000030517578,180.41000366210938,183.25,183.25,4274500,,,1.0,181.259995,184.800003,180.410004,183.25
PANW,2025-01-06,182.35000610351562,182.7899932861328,176.64999389648438,179.5,179.5,7109500,,,1.0,182.350006,182.789993,176.649994,179.5
PANW,2025-01-07,177.52000427246094,178.1699981689453,173.17999267578125,175.50999450683594,175.50999450683594,6492400,,,1.0,177.520004,178.169998,173.179993,175.509995
PANW,2025-01-08,169.3800048828125,173.11000061035156,167.25999450683594,172.8300018310547,172.8300018310547,11015200,,,1.0,169.380005,173.110001,167.259995,172.830002
PANW,2025-01-10,171.8000030517578,175.24000549316406,171.19000244140625,173.4199981689453,173.4199981689453,5727200,,,1.0,171.800003,175.240005,171.190002,173.419998
PANW,2025-01-13,169.77000427246094,170.52999877929688,166.2100067138672,167.82000732421875,167.82000732421875,7402300,,,1.0,169.770004,170.529999,166.210007,167.820007
PANW,2025-01-14,168.3000030517578,170.66000366210938,166.39999389648438,170.5800018310547,170.5800018310547,4914900,,,1.0,168.300003,170.660004,166.399994,170.580002
PANW,2025-01-15,173.3300018310547,175.9499969482422,172.7899932861328,174.19000244140625,174.19000244140625,7705800,,,1.0,173.330002,175.949997,172.789993,174.190002
PANW,2025-01-16,176.0,178.9499969482422,173.5800018310547,177.1699981689453,177.1699981689453,6635600,,,1.0,176.0,178.949997,173.580002,177.169998
PANW,2025-01-17,181.1199951171875,181.35000610351562,177.0,177.11000061035156,177.11000061035156,5500400,,,1.0,181.119995,181.350006,177.0,177.110001
PANW,2025-01-21,181.08999633789062,186.14999389648438,180.52999877929688,183.50999450683594,183.50999450683594,6421700,,,1.0,181.089996,186.149994,180.529999,183.509995
